edital;tipoObjeto;modalidade;rito;finalidade;processo;centralDeCompras;dataDeAbertura;situacaoOferta;numeroLote;situacaoLote;numeroItem;itemDescricao;quantidade;unidadeMedida;valorUnitario;valorTotal;arrematante;arrematanteCNPJ;url;urlDocumentos;urlPropostas;dataHomologacao
0783/2021;Bens;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;21/2000-0059657-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;20/07/2021 14:32;Homologada;1;Adjudicado;1;CLORETO DE SODIO 0,9% INJETAVEL 10 ML;170000;fa;0.299;50830;RS PRODUTOS HOSPITALARES LTDA;6,29413E+12;http://www.compras.rs.gov.br/editais/0783_2021/273912;http://www.compras.rs.gov.br/editais/0783_2021/273912#documentsTab;http://www.compras.rs.gov.br/editais/0783_2021/lote/874878#proposalsTab;03/09/2021
0764/2021;Bens;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;21/2000-0052143-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;14/07/2021 09:00;Homologada;1;Adjudicado;1;PLÁSTICO - BOLHA PLÁSTICO 100 METROS 1,3M MÍNIMO 40 MICRAS E MÁXIMO 80 MICRAS;50;rl;108.6;5430;MACROCENTER MULTI COMERCIO E SERVIÇOS LTDA;2,43152E+13;http://www.compras.rs.gov.br/editais/0764_2021/273781;http://www.compras.rs.gov.br/editais/0764_2021/273781#documentsTab;http://www.compras.rs.gov.br/editais/0764_2021/lote/873464#proposalsTab;29/07/2021
0531/2021;Bens;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;21/2000-0041321-3;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;26/05/2021 14:30;Homologada;1;Adjudicado;1;CONGELADOR - HORIZONTAL 410 LITROS 220V;18;un;3549.3;63887.4;VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA;8,33545E+12;http://www.compras.rs.gov.br/editais/0531_2021/271946;http://www.compras.rs.gov.br/editais/0531_2021/271946#documentsTab;http://www.compras.rs.gov.br/editais/0531_2021/lote/858350#proposalsTab;08/06/2021
9020/2021;Serviços;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;21/2000-0008870-3;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;15/04/2021 15:01;Homologada;1;Adjudicado;1;Impressão de cadernetas de vacinação;1;un;37000;37000;A VIEIRA SERVICOS;9,18131E+12;http://www.compras.rs.gov.br/editais/9020_2021/270429;http://www.compras.rs.gov.br/editais/9020_2021/270429#documentsTab;http://www.compras.rs.gov.br/editais/9020_2021/lote/846523#proposalsTab;04/05/2021
9003/2021;Obras e Serviços de Engenharia;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;20/2000-0123483-0;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;05/02/2021 09:01;Homologada;1;Adjudicado;1;SERVIÇO DE INSTALAÇÃO ELÉTRICA PARA CONTEINER REFRIGERADO;1;un;20000;20000;PRO REDE TELECOMUNICACOES & INFORMATICA LTDA;8,68338E+13;http://www.compras.rs.gov.br/editais/9003_2021/268444;http://www.compras.rs.gov.br/editais/9003_2021/268444#documentsTab;http://www.compras.rs.gov.br/editais/9003_2021/lote/827381#proposalsTab;02/03/2021
9002/2021;Obras e Serviços de Engenharia;Dispensa com disputa;Vacinação COVID-19 (MP Nº 1.026/21 > Lei Nº 14.124/21);COVID-19;20/2000-0123483-0;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;27/01/2021 14:00;Homologada;1;Não-adjudicado;1;SERVIÇO DE INSTALAÇÃO ELÉTRICA PARA CONTEINER REFRIGERADO;1;un;;;;;http://www.compras.rs.gov.br/editais/9002_2021/268213;http://www.compras.rs.gov.br/editais/9002_2021/268213#documentsTab;http://www.compras.rs.gov.br/editais/9002_2021/lote/824898#proposalsTab;01/02/2021
9001/2021;Obras e Serviços de Engenharia;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0123483-0;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;12/01/2021 09:00;Depende dos lotes;1;Não-adjudicado;1;SERVIÇO DE INSTALAÇÃO ELÉTRICA PARA CONTEINER REFRIGERADO;1;un;;;;;http://www.compras.rs.gov.br/editais/9001_2021/267797;http://www.compras.rs.gov.br/editais/9001_2021/267797#documentsTab;http://www.compras.rs.gov.br/editais/9001_2021/lote/821121#proposalsTab;
1274/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2441-0010936-9;Instituto de Assistência à Saúde dos Servidores Públicos do Rio Grande do Sul;22/12/2020 10:01;Homologada;1;Adjudicado;1;VENTILADOR COLUNA - 120W - 127V OU 220V - 400,00MM - 03 VELOCIDADES;40;un;217.06;8682.4;GIULLIA SOUZA MAGALHAES;1,92531E+13;http://www.compras.rs.gov.br/editais/1274_2020/267404;http://www.compras.rs.gov.br/editais/1274_2020/267404#documentsTab;http://www.compras.rs.gov.br/editais/1274_2020/lote/817935#proposalsTab;23/12/2020
1455/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0095454-5;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;14/12/2020 10:04;Cancelada;1;Cancelado;1;LEITOR DE CÓDIGO DE BARRAS ÓPTICO DE MÃO;40;un;;;;;http://www.compras.rs.gov.br/editais/1455_2020/267201;http://www.compras.rs.gov.br/editais/1455_2020/267201#documentsTab;http://www.compras.rs.gov.br/editais/1455_2020/lote/817000#proposalsTab;
9005/2020;Serviços;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1364-0003479-0;FUNDAÇÃO ESTADUAL DE PLANEJAMENTO METROPOLITANO E REGIONAL;11/12/2020 14:30;Homologada;1;Adjudicado;1;Limpeza de esgoto com remoção;1;un;1500;1500;GPA AMBIENTAL EIRELI;3,75586E+13;http://www.compras.rs.gov.br/editais/9005_2020/266998;http://www.compras.rs.gov.br/editais/9005_2020/266998#documentsTab;http://www.compras.rs.gov.br/editais/9005_2020/lote/815959#proposalsTab;14/12/2020
